,name,order,price,restoran
0,ox_Ho,Овощи гриль,2157.0,Додо Пицца
1,maitalins,Добрый кола,1500.0,Додо Пицца
2,maitalins,Добрый кола,1500.0,Додо Пицца
3,maitalins,Мясная,2157.0,Додо Пицца
4,ivanzoizi,"Мясная/10,Диабло/10",14380.0,Додо Пицца
5,ivanzoizi,Сендвич/1,200.0,Фанки
6,ivanzoizi,"Сырный крем/1,Том/1",1180.0,Лимонад
7,ivanzoizi,Сырная/1,479.0,Додо Пицца
8,ivanzoizi,Сырная/1,479.0,Додо Пицца
9,maitalins,Кофе латте/2,198.0,Додо Пицца
10,ivanzoizi,Додо/1,719.0,Додо Пицца
11,ivanzoizi,Диабло/1,719.0,Додо Пицца
12,ivanzoizi,Додо/1,719.0,Додо Пицца
13,ivanzoizi,Манго-шейк/1,199.0,Додо Пицца
14,Deskortag,Сулугуни,600.0,Фанки
15,I_Shinobi_L,Панкейки Вишня/3,400.0,Фанки
16,Xbzzii,Панкейки Вишня/3,400.0,Фанки
17,Deskortag,"Большой Фанки Омлет/1, Аво Тост/2",200.0,Фанки
18,ivanzoizi,Ростбиф/1,200.0,Фанки
19,Deskortag,Сулугуни,600.0,Фанки
20,maitalins,Ростбиф/1,200.0,Фанки
21,maitalins,Сулугуни,600.0,Фанки
22,Xbzzii,Ростбиф/1,200.0,Фанки
23,Deskortag,"Большой Фанки Омлет/1, Аво Тост/2",200.0,Фанки
24,Deskortag,Сулугуни,600.0,Фанки
25,I_Shinobi_L,Панкейки Вишня/3,400.0,Фанки
26,Xbzzii,Панкейки Вишня/3,400.0,Фанки
27,Deskortag,"Большой Фанки Омлет/1, Аво Тост/2",200.0,Фанки
28,ivanzoizi,Ростбиф/1,200.0,Фанки
29,Deskortag,Сулугуни,600.0,Фанки
30,maitalins,Ростбиф/1,200.0,Фанки
31,maitalins,Сулугуни,600.0,Фанки
32,Xbzzii,Ростбиф/1,200.0,Фанки
33,Deskortag,"Большой Фанки Омлет/1, Аво Тост/2",200.0,Фанки
34,ivanzoizi,Сырная/1,479.0,Додо Пицца
35,ivanzoizi,Том/1,685.0,Лимонад
36,ivanzoizi,Тальятелле/1,675.0,Лимонад
37,ivanzoizi,Шашлык из свиной шейки/1,570.0,Иберия
